,state,enter_price,enter_time,exit_price,ror,fiat_money,비공식환율
0,False,0.0,,0.0,1.0,1000000.0,0.0
1,True,8343000.0,2020-01-01,7195.24,1.0,1000000.0,1159.5165692874734
2,False,6965.49,2020-01-03,8300000.0,1.0112500435945584,1011250.0435945584,1191.5888185899341
3,True,8038000.0,2020-01-04,7345.0,1.0112500435945584,1011250.0435945584,1094.349897889721
4,False,7354.19,2020-01-05,8476000.0,1.0368415233988624,1048506.0357377478,1152.5402525635047
5,True,8483000.0,2020-01-06,7357.64,1.0368415233988624,1048506.0357377478,1152.951218053615
6,False,9851.74,2020-02-11,11821000.0,1.0217488103207013,1071309.7946291186,1199.889562655937
7,True,11520000.0,2020-02-12,10223.08,1.0217488103207013,1071309.7946291186,1126.861963322208
8,False,9904.46,2020-02-16,11857000.0,1.04085930467678,1115082.7679310883,1197.1374512088494
9,True,11513000.0,2020-02-17,9910.7,1.04085930467678,1115082.7679310883,1161.6737465567517
10,False,9706.0,2020-02-18,11659000.0,1.0137911052439093,1130460.9917392957,1201.2157428394808
11,True,11438000.0,2020-02-19,10164.78,1.0137911052439093,1130460.9917392957,1125.257998697463
12,False,9594.65,2020-02-20,11837000.0,1.0756670859738078,1215999.680791269,1233.7083687263214
13,True,11419000.0,2020-02-21,9597.21,1.0756670859738078,1215999.680791269,1189.8249595455347
14,False,9316.48,2020-02-26,11635000.0,1.0308875547450016,1253558.937501614,1248.862231228962
15,True,10358000.0,2020-03-03,8911.18,1.0308875547450016,1253558.937501614,1162.3600914805895
16,False,8760.07,2020-03-04,10675000.0,1.0316732954138685,1293263.2800477978,1218.5975682842718
17,True,10504000.0,2020-03-06,9054.64,1.0316732954138685,1293263.2800477978,1160.068208123128
18,False,8885.25,2020-03-08,10852000.0,1.0363241808050832,1340240.0092608288,1221.3499901522187
19,True,6362000.0,2020-03-14,5576.05,1.0363241808050832,1340240.0092608288,1140.9510316442643
20,False,5172.48,2020-03-15,7261000.0,1.218753478721639,1633422.1736085569,1403.7753650086613
21,True,6385000.0,2020-03-18,5312.64,1.218753478721639,1633422.1736085569,1201.8506806408866
22,False,5393.26,2020-03-19,6774000.0,1.0364068600579828,1692889.9460987297,1256.0121336631275
23,True,6747000.0,2020-03-20,6162.05,1.0364068600579828,1692889.9460987297,1094.927824344171
24,False,6204.57,2020-03-21,7675000.0,1.1202640775480142,1896483.793856601,1236.9914434038137
25,True,7379000.0,2020-03-24,6465.25,1.1202640775480142,1896483.793856601,1141.3325084103476
26,False,6744.69,2020-03-25,8047000.0,1.036616566302247,1965926.5184354885,1193.086709693107
27,True,7218000.0,2020-03-31,6394.45,1.036616566302247,1965926.5184354885,1128.7913737694407
28,False,6412.14,2020-04-01,7794000.0,1.0684077638776244,2100411.1555093834,1215.5068354714651
29,True,7799000.0,2020-04-02,6643.36,1.0684077638776244,2100411.1555093834,1173.9541436863276
30,False,6732.97,2020-04-04,8160000.0,1.024182219139508,2151203.7583549786,1211.9465852365302
31,True,8149000.0,2020-04-05,6857.41,1.024182219139508,2151203.7583549786,1188.349537215946
32,False,6772.78,2020-04-06,8248000.0,1.01662647258908,2186970.688676793,1217.8160223719065
33,True,8198000.0,2020-04-07,7329.9,1.01662647258908,2186970.688676793,1118.432720773817
34,False,7197.32,2020-04-08,8777000.0,1.081754692380129,2365765.804573923,1219.4816959646091
35,True,8652000.0,2020-04-09,7360.26,1.081754692380129,2365765.804573923,1175.5019523766823
36,False,7283.54,2020-04-10,8821000.0,1.0222935109122238,2418507.0303539573,1211.0869165268537
37,True,8107000.0,2020-04-17,7101.99,1.0222935109122238,2418507.0303539573,1141.511041271531
38,False,7026.78,2020-04-18,8557000.0,1.0591264869909611,2561504.8548217285,1217.7697323667455
39,True,8519000.0,2020-04-19,7248.6,1.0591264869909611,2561504.8548217285,1175.2614297933392
40,False,7121.4,2020-04-20,8712000.0,1.0334999407834804,2647315.115774854,1223.3549582947176
41,True,8387000.0,2020-04-22,6841.36,1.0334999407834804,2647315.115774854,1225.9258393068046
42,False,8722.77,2020-05-11,11553000.0,1.07207908093307,2838131.1562601295,1324.4645909498931
43,True,10441000.0,2020-05-13,8810.99,1.07207908093307,2838131.1562601295,1184.9973725994469
44,False,9315.96,2020-05-16,11777000.0,1.0582742464594488,3003521.1107442724,1264.1745992898211
45,True,11314000.0,2020-05-17,9380.81,1.0582742464594488,3003521.1107442724,1206.0792191719052
46,False,9511.43,2020-05-21,11727000.0,1.0140674319815581,3045772.9396748412,1232.9376339835335
47,True,11089000.0,2020-05-23,9170.0,1.0140674319815581,3045772.9396748412,1209.2693565976008
48,False,8718.14,2020-05-25,11140000.0,1.0486497800806223,3193949.1233655326,1277.7954930753579
49,True,10663000.0,2020-05-26,8900.35,1.0486497800806223,3193949.1233655326,1198.042773598791
50,False,8841.0,2020-05-27,10821000.0,1.014289479868072,3239588.9950635107,1223.9565659993214
51,True,10724000.0,2020-05-28,9204.07,1.014289479868072,3239588.9950635107,1165.1367275563964
52,False,9426.6,2020-05-30,11579000.0,1.0466205589728608,3390620.4448557,1228.3325907538242
53,True,11397000.0,2020-05-31,9697.72,1.0466205589728608,3390620.4448557,1175.2246919894574
54,False,9448.27,2020-06-01,11583000.0,1.035674749038131,3511579.978309483,1225.9387168232915
55,True,11432000.0,2020-06-02,10202.71,1.035674749038131,3511579.978309483,1120.4866158108973
56,False,9518.02,2020-06-03,12111000.0,1.1278139031584615,3960408.7215903234,1272.4285092907978
57,True,11520000.0,2020-06-04,9666.32,1.1278139031584615,3960408.7215903234,1191.7668771569738
58,False,9621.17,2020-06-06,11785000.0,1.0212056955495397,4044391.9431921095,1224.9030003627417
59,True,11601000.0,2020-06-07,9666.85,1.0212056955495397,4044391.9431921095,1200.0806881248802
60,False,9278.88,2020-06-12,11732000.0,1.046985226029662,4234418.612795535,1264.3767351232045
61,True,11090000.0,2020-06-13,9464.96,1.046985226029662,4234418.612795535,1171.6901075123403
62,False,9473.34,2020-06-14,11374000.0,1.0186423334636914,4313358.05660013,1200.6325118701534
63,True,11246000.0,2020-06-16,9426.05,1.0186423334636914,4313358.05660013,1193.0766333724096
64,False,9386.32,2020-06-19,11437000.0,1.0152833989417887,4379280.828557928,1218.4753982391396
65,True,11285000.0,2020-06-21,9358.95,1.0152833989417887,4379280.828557928,1205.7976589254135
66,False,9298.33,2020-06-25,11506000.0,1.0202577995183186,4467995.421617271,1237.4265056198265
67,True,10913000.0,2020-06-29,9116.16,1.0202577995183186,4467995.421617271,1197.1049213704016
68,False,11071.36,2020-08-03,13922000.0,1.044062740870715,4664867.546091534,1257.4787559974563
69,True,13030000.0,2020-08-04,11219.68,1.044062740870715,4664867.546091534,1161.3521954280336
70,False,11191.99,2020-08-05,13273000.0,1.0148197493016382,4733999.713649959,1185.9374427604027
71,True,13322000.0,2020-08-06,11744.91,1.0148197493016382,4733999.713649959,1134.2785938759855
72,False,11762.47,2020-08-07,13843000.0,1.0310559686082266,4881018.660148426,1176.8786657904334
73,True,13777000.0,2020-08-09,11761.02,1.0310559686082266,4881018.660148426,1171.4120033806591
74,False,11392.09,2020-08-12,13994000.0,1.0421467838339964,5086737.898507404,1228.396194201415
75,True,13619000.0,2020-08-13,11564.34,1.0421467838339964,5086737.898507404,1177.6720504585649
76,False,11531.23,2020-08-22,13951000.0,1.0211458860611866,5194301.478532362,1209.8449168041918
77,True,13781000.0,2020-08-23,11663.51,1.0211458860611866,5194301.478532362,1181.5482646304586
78,False,11318.42,2020-08-26,13876000.0,1.0314694638439352,5357763.361105535,1225.966168422801
79,True,13473000.0,2020-08-27,11461.42,1.0314694638439352,5357763.361105535,1175.5087938492786
80,False,11330.38,2020-08-28,13561000.0,1.0123715876245163,5424047.399998875,1196.870713956637
81,True,13401000.0,2020-08-29,11526.9,1.0123715876245163,5424047.399998875,1162.5849100799
82,False,11465.84,2020-08-30,13546000.0,1.0104795377625375,5480888.909552957,1181.4223816135582
83,True,13470000.0,2020-08-31,11711.17,1.0104795377625375,5480888.909552957,1150.1839696631505
84,False,11649.51,2020-09-01,13671000.0,1.0145711471123398,5560751.748160444,1173.5257534437071
85,True,13733000.0,2020-09-02,11921.97,1.0145711471123398,5560751.748160444,1151.9069415541226
