"날짜","종가","오픈","고가","저가","변동 %"
"2013년 11월 18일","173.22","174.37","174.46","173.10","-0.71%"
"2013년 11월 15일","174.45","175.33","175.48","174.37","-0.55%"
"2013년 11월 14일","175.41","175.70","175.78","174.94","-0.21%"
"2013년 11월 13일","175.78","176.07","176.39","175.68","-0.23%"
"2013년 11월 12일","176.18","175.98","176.31","175.39","0.06%"
"2013년 11월 11일","176.07","174.38","176.14","174.38","0.92%"
"2013년 11월 08일","174.46","174.43","174.91","174.37","-0.07%"
"2013년 11월 07일","174.59","173.94","174.66","173.82","0.33%"
"2013년 11월 06일","174.01","174.02","174.50","173.89","-0.05%"
"2013년 11월 05일","174.10","174.16","174.34","173.85","-0.07%"
"2013년 11월 04일","174.23","173.93","174.41","173.93","0.13%"
"2013년 11월 01일","174.01","174.06","174.71","173.83","-0.07%"
"2013년 10월 31일","174.14","173.71","174.22","173.71","0.16%"
"2013년 10월 30일","173.86","174.39","174.62","173.64","-0.36%"
"2013년 10월 29일","174.48","174.32","174.56","174.03","0.01%"
"2013년 10월 28일","174.47","174.55","174.86","174.16","-0.10%"
"2013년 10월 25일","174.64","174.58","174.96","174.31","-0.06%"
"2013년 10월 24일","174.75","173.79","174.75","173.30","0.44%"
"2013년 10월 23일","173.98","173.50","174.09","173.25","0.20%"
"2013년 10월 22일","173.64","174.19","174.78","173.48","-0.41%"
"2013년 10월 21일","174.35","173.86","174.57","173.76","0.24%"
"2013년 10월 18일","173.94","174.21","174.38","173.82","-0.20%"
"2013년 10월 17일","174.29","174.80","174.97","174.11","-0.38%"
"2013년 10월 16일","174.96","174.40","175.31","174.40","0.28%"
"2013년 10월 15일","174.48","175.36","175.46","174.22","-0.56%"
"2013년 10월 14일","175.47","174.97","175.61","174.88","0.24%"
"2013년 10월 11일","175.05","175.15","175.25","174.72","-0.10%"
"2013년 10월 10일","175.23","175.69","176.02","175.15","-0.31%"
"2013년 10월 09일","175.77","175.47","175.86","175.47","0.07%"
"2013년 10월 08일","175.64","174.91","175.95","174.78","0.35%"
"2013년 10월 07일","175.03","174.91","175.16","174.46","0.00%"
"2013년 10월 04일","175.03","174.91","175.50","174.68","-0.05%"
"2013년 10월 03일","175.12","175.41","175.62","174.91","-0.23%"
"2013년 10월 02일","175.52","175.23","175.88","175.13","0.09%"
"2013년 10월 01일","175.37","175.34","175.85","175.14","-0.09%"
"2013년 09월 30일","175.53","175.50","176.25","175.29","-0.06%"
"2013년 09월 27일","175.63","175.59","176.22","175.17","-0.05%"
"2013년 09월 26일","175.72","175.86","175.99","175.18","-0.14%"
"2013년 09월 25일","175.96","175.52","176.36","175.52","0.21%"
"2013년 09월 24일","175.59","175.44","175.92","175.11","0.04%"
"2013년 09월 23일","175.52","175.78","176.18","175.34","-0.19%"
"2013년 09월 20일","175.86","174.94","175.90","174.94","0.46%"
"2013년 09월 19일","175.05","174.76","175.05","174.76","-0.96%"
"2013년 09월 18일","176.74","176.77","176.91","176.62","-0.06%"
"2013년 09월 17일","176.85","176.67","177.58","176.67","0.06%"
"2013년 09월 16일","176.75","177.46","177.55","176.63","-0.44%"
"2013년 09월 13일","177.54","176.98","177.92","176.90","0.27%"
"2013년 09월 12일","177.06","177.45","177.52","176.72","-0.26%"
"2013년 09월 11일","177.53","177.34","178.13","177.00","0.01%"
"2013년 09월 10일","177.51","177.55","177.95","176.65","-0.05%"
"2013년 09월 09일","177.59","178.39","178.42","177.49","-0.51%"
"2013년 09월 06일","178.50","179.29","179.59","178.39","-0.49%"
"2013년 09월 05일","179.37","178.71","179.71","177.95","0.31%"
"2013년 09월 04일","178.81","179.35","180.22","178.70","-0.39%"
"2013년 09월 03일","179.51","179.45","179.61","178.70","-0.02%"
"2013년 09월 02일","179.55","181.29","181.39","179.41","-1.01%"
"2013년 08월 30일","181.39","181.71","181.81","181.04","-0.23%"
"2013년 08월 29일","181.81","181.83","182.08","181.08","-0.19%"
"2013년 08월 28일","182.16","182.41","182.99","182.05","-0.21%"
"2013년 08월 27일","182.55","181.72","182.61","181.72","0.40%"
"2013년 08월 26일","181.83","181.79","182.11","181.54","-0.09%"
"2013년 08월 23일","181.99","183.05","183.18","181.88","-0.66%"
"2013년 08월 22일","183.20","182.56","184.05","182.56","0.26%"
"2013년 08월 21일","182.73","182.94","183.11","182.15","-0.15%"
"2013년 08월 20일","183.00","182.57","183.63","182.04","0.17%"
"2013년 08월 19일","182.69","182.00","182.69","181.69","0.33%"
"2013년 08월 16일","182.09","182.90","182.99","181.90","-0.49%"
"2013년 08월 15일","182.99","182.68","182.99","182.63","0.11%"
"2013년 08월 14일","182.78","182.60","183.22","182.60","0.01%"
"2013년 08월 13일","182.76","181.91","182.82","181.91","0.42%"
"2013년 08월 12일","182.00","181.47","182.18","181.36","0.24%"
"2013년 08월 09일","181.56","181.68","182.10","180.79","-0.12%"
"2013년 08월 08일","181.78","182.19","182.38","181.63","-0.27%"
"2013년 08월 07일","182.27","181.94","183.00","181.79","0.15%"
"2013년 08월 06일","182.00","181.80","182.26","181.47","0.05%"
"2013년 08월 05일","181.91","183.35","183.45","181.58","-0.83%"
"2013년 08월 02일","183.43","183.14","183.94","183.07","0.09%"
"2013년 08월 01일","183.26","183.26","183.46","182.46","-0.04%"
"2013년 07월 31일","183.34","181.94","183.34","181.88","0.69%"
"2013년 07월 30일","182.08","181.36","182.17","181.16","0.35%"
"2013년 07월 29일","181.44","181.46","181.54","180.70","-0.06%"
"2013년 07월 26일","181.55","181.90","181.99","180.89","-0.25%"
"2013년 07월 25일","182.00","181.79","182.48","181.72","0.07%"
"2013년 07월 24일","181.88","181.94","182.03","181.22","-0.10%"
"2013년 07월 23일","182.06","181.57","182.20","181.54","-0.08%"
"2013년 07월 22일","182.20","182.54","182.62","182.03","-0.23%"
"2013년 07월 19일","182.62","183.04","183.59","182.41","-0.29%"
"2013년 07월 18일","183.16","182.03","183.78","182.03","0.58%"
"2013년 07월 17일","182.11","181.65","182.95","181.63","0.21%"
"2013년 07월 16일","181.73","182.73","183.01","181.53","-0.60%"
"2013년 07월 15일","182.82","183.11","183.53","182.53","-0.21%"
"2013년 07월 12일","183.21","183.20","183.50","182.28","-0.04%"
"2013년 07월 11일","183.29","184.92","185.01","182.75","-0.97%"
"2013년 07월 10일","185.09","186.19","186.62","184.85","-0.67%"
"2013년 07월 09일","186.33","187.15","187.31","185.86","-0.48%"
"2013년 07월 08일","187.23","186.15","187.99","186.15","0.51%"
"2013년 07월 05일","186.28","185.99","186.75","185.59","0.11%"
"2013년 07월 04일","186.07","186.10","186.50","185.67","-0.06%"
"2013년 07월 03일","186.18","184.98","186.77","184.98","0.61%"
"2013년 07월 02일","185.06","185.10","185.27","184.11","-0.06%"
"2013년 07월 01일","185.18","185.97","186.57","184.46","-0.51%"
"2013년 06월 28일","186.13","186.64","186.80","185.55","-0.32%"
"2013년 06월 27일","186.72","187.89","187.97","186.59","-0.71%"
"2013년 06월 26일","188.06","187.56","188.26","186.99","0.18%"
"2013년 06월 25일","187.73","188.91","189.34","187.45","-0.72%"
"2013년 06월 24일","189.09","188.41","189.37","187.92","0.27%"
"2013년 06월 21일","188.58","188.33","189.31","187.62","0.83%"
"2013년 06월 20일","187.02","184.45","187.14","184.45","1.32%"
"2013년 06월 19일","184.59","185.07","185.42","184.31","-0.30%"
"2013년 06월 18일","185.15","184.05","185.21","183.99","0.54%"
"2013년 06월 17일","184.16","183.85","184.38","183.60","0.12%"
"2013년 06월 14일","183.94","184.08","184.45","183.35","-0.17%"
"2013년 06월 13일","184.25","183.87","185.28","183.87","0.16%"
"2013년 06월 12일","183.95","184.65","185.11","183.71","-0.42%"
"2013년 06월 11일","184.73","183.77","185.56","183.77","0.43%"
"2013년 06월 10일","183.93","182.14","184.00","182.14","0.94%"
"2013년 06월 07일","182.22","182.34","182.42","180.34","-0.09%"
"2013년 06월 06일","182.38","182.53","182.58","182.26","-0.13%"
"2013년 06월 05일","182.61","183.23","183.65","181.89","-0.38%"
"2013년 06월 04일","183.30","182.53","183.41","182.48","0.34%"
"2013년 06월 03일","182.67","184.27","184.41","182.21","-0.94%"
"2013년 05월 31일","184.40","184.07","184.41","183.25","0.14%"
"2013년 05월 30일","184.15","184.78","184.86","183.71","-0.37%"
"2013년 05월 29일","184.84","184.27","185.09","184.09","0.29%"
"2013년 05월 28일","184.31","183.34","184.31","182.87","0.50%"
"2013년 05월 27일","183.40","183.88","184.30","182.91","-0.33%"
"2013년 05월 24일","184.00","183.94","184.67","183.04","-0.02%"
"2013년 05월 23일","184.03","181.67","184.11","181.67","1.28%"
"2013년 05월 22일","181.70","180.98","181.74","180.98","0.30%"
"2013년 05월 21일","181.16","182.06","182.24","180.95","-0.52%"
"2013년 05월 20일","182.11","181.93","182.45","181.69","0.01%"
