"날짜","종가","시가","고가","저가","거래량","변동 %"
"2010- 04- 19","1,508.44","1,495.61","1,509.00","1,495.06","","0.63%"
"2010- 04- 20","1,502.24","1,508.32","1,511.86","1,500.65","","-0.41%"
"2010- 04- 21","1,483.00","1,501.99","1,502.81","1,479.31","","-1.28%"
"2010- 04- 22","1,473.39","1,482.63","1,489.26","1,469.14","","-0.65%"
"2010- 04- 23","1,484.44","1,472.02","1,486.21","1,462.71","","0.75%"
"2010- 04- 26","1,479.46","1,478.92","1,483.61","1,466.75","","-0.34%"
"2010- 04- 27","1,462.03","1,478.21","1,491.53","1,460.32","","-1.18%"
"2010- 04- 28","1,478.70","1,460.21","1,485.54","1,459.76","","1.14%"
"2010- 04- 29","1,474.63","1,476.21","1,480.76","1,469.79","","-0.28%"
"2010- 04- 30","1,474.09","1,476.00","1,479.78","1,465.53","","-0.04%"
"2010- 05- 03","1,475.82","1,478.07","1,482.52","1,470.92","","0.12%"
"2010- 05- 04","1,448.03","1,475.17","1,477.16","1,446.71","","-1.88%"
"2010- 05- 05","1,428.95","1,445.71","1,449.91","1,425.75","","-1.32%"
"2010- 05- 06","1,444.07","1,429.76","1,466.75","1,427.20","","1.06%"
"2010- 05- 07","1,474.59","1,440.96","1,479.15","1,437.88","","2.11%"
"2010- 05- 10","1,446.99","1,494.45","1,496.49","1,443.84","","-1.87%"
"2010- 05- 11","1,436.09","1,447.46","1,450.45","1,431.29","","-0.75%"
"2010- 05- 12","1,432.61","1,433.62","1,458.12","1,430.21","","-0.24%"
"2010- 05- 13","1,416.40","1,432.63","1,435.42","1,413.82","","-1.13%"
"2010- 05- 14","1,398.26","1,414.76","1,425.97","1,395.78","","-1.28%"
"2010- 05- 17","1,429.39","1,395.44","1,432.01","1,394.76","","2.23%"
"2010- 05- 18","1,397.01","1,428.18","1,429.94","1,393.54","","-2.27%"
"2010- 05- 19","1,448.03","1,395.94","1,448.38","1,391.59","","3.65%"
"2010- 05- 20","1,488.93","1,446.26","1,504.80","1,440.21","","2.82%"
"2010- 05- 21","1,501.21","1,487.70","1,514.02","1,486.86","","0.82%"
"2010- 05- 24","1,500.40","1,496.62","1,528.68","1,491.73","","-0.05%"
"2010- 05- 25","1,547.55","1,498.13","1,569.43","1,496.43","","3.14%"
"2010- 05- 26","1,525.26","1,546.50","1,553.18","1,524.27","","-1.44%"
"2010- 05- 27","1,513.91","1,523.14","1,528.76","1,492.12","","-0.74%"
"2010- 05- 28","1,466.26","1,511.81","1,514.99","1,464.82","","-3.15%"
"2010- 05- 31","1,479.28","1,465.65","1,491.18","1,464.93","","0.89%"
"2010- 06- 01","1,487.41","1,478.97","1,502.86","1,469.82","","0.55%"
"2010- 06- 02","1,490.95","1,484.01","1,493.38","1,480.12","","0.24%"
"2010- 06- 03","1,457.62","1,489.85","1,491.30","1,456.18","","-2.24%"
"2010- 06- 04","1,439.16","1,457.50","1,474.02","1,436.15","","-1.27%"
"2010- 06- 07","1,472.24","1,435.07","1,481.88","1,432.43","","2.30%"
"2010- 06- 08","1,477.65","1,472.23","1,481.97","1,465.75","","0.37%"
"2010- 06- 09","1,495.43","1,477.09","1,506.89","1,470.35","","1.20%"
"2010- 06- 10","1,514.72","1,494.27","1,523.41","1,493.52","","1.29%"
"2010- 06- 11","1,509.46","1,513.73","1,517.92","1,491.75","","-0.35%"
"2010- 06- 14","1,492.24","1,510.65","1,521.05","1,486.62","","-1.14%"
"2010- 06- 15","1,515.17","1,491.21","1,518.50","1,485.71","","1.54%"
"2010- 06- 16","1,491.05","1,514.25","1,515.66","1,483.59","","-1.59%"
"2010- 06- 17","1,501.51","1,489.17","1,504.90","1,485.81","","0.70%"
"2010- 06- 18","1,494.69","1,501.20","1,508.96","1,485.27","","-0.45%"
"2010- 06- 21","1,448.42","1,495.25","1,497.20","1,444.25","","-3.10%"
"2010- 06- 22","1,452.36","1,448.59","1,466.48","1,447.42","","0.27%"
"2010- 06- 23","1,463.14","1,450.48","1,466.58","1,449.49","","0.74%"
"2010- 06- 24","1,466.57","1,461.91","1,473.70","1,456.98","","0.23%"
"2010- 06- 25","1,504.74","1,465.06","1,507.41","1,464.59","","2.60%"
"2010- 06- 28","1,478.21","1,503.08","1,506.49","1,475.05","","-1.76%"
"2010- 06- 29","1,483.52","1,476.38","1,496.14","1,474.08","","0.36%"
"2010- 06- 30","1,496.83","1,482.61","1,514.09","1,481.64","","0.90%"
"2010- 07- 01","1,537.21","1,494.99","1,539.79","1,493.16","","2.70%"
"2010- 07- 02","1,544.99","1,526.34","1,551.51","1,521.09","","0.51%"
"2010- 07- 05","1,534.08","1,542.69","1,545.60","1,526.29","","-0.71%"
"2010- 07- 06","1,543.47","1,533.40","1,548.75","1,529.12","","0.61%"
"2010- 07- 07","1,543.24","1,542.90","1,546.78","1,530.92","","-0.01%"
"2010- 07- 08","1,534.95","1,542.61","1,544.24","1,526.52","","-0.54%"
"2010- 07- 09","1,513.91","1,533.80","1,535.39","1,507.49","","-1.37%"
"2010- 07- 12","1,516.22","1,513.52","1,517.54","1,505.91","","0.15%"
"2010- 07- 13","1,543.91","1,514.78","1,545.24","1,507.03","","1.83%"
"2010- 07- 14","1,532.16","1,542.54","1,544.66","1,515.86","","-0.76%"
"2010- 07- 15","1,555.91","1,530.65","1,557.95","1,525.41","","1.55%"
"2010- 07- 16","1,556.49","1,553.18","1,566.66","1,544.25","","0.04%"
"2010- 07- 19","1,572.21","1,550.38","1,580.33","1,549.54","","1.01%"
"2010- 07- 20","1,555.86","1,571.39","1,576.76","1,548.78","","-1.04%"
"2010- 07- 21","1,536.42","1,553.84","1,558.34","1,532.06","","-1.25%"
"2010- 07- 22","1,552.08","1,534.22","1,556.70","1,532.32","","1.02%"
"2010- 07- 23","1,547.38","1,549.95","1,554.94","1,533.37","","-0.30%"
"2010- 07- 26","1,547.84","1,546.54","1,549.67","1,534.72","","0.03%"
"2010- 07- 27","1,537.12","1,546.87","1,549.36","1,529.63","","-0.69%"
"2010- 07- 28","1,540.97","1,536.65","1,545.39","1,534.41","","0.25%"
"2010- 07- 29","1,551.21","1,538.96","1,554.88","1,538.49","","0.66%"
"2010- 07- 30","1,543.26","1,550.20","1,553.51","1,536.01","","-0.51%"
"2010- 08- 02","1,546.91","1,543.69","1,548.66","1,529.63","","0.24%"
"2010- 08- 03","1,545.30","1,545.00","1,554.95","1,527.47","","-0.10%"
"2010- 08- 04","1,536.37","1,544.32","1,549.79","1,532.50","","-0.58%"
"2010- 08- 05","1,539.26","1,535.19","1,545.38","1,529.97","","0.19%"
"2010- 08- 06","1,543.05","1,537.02","1,548.97","1,527.82","","0.25%"
"2010- 08- 09","1,535.87","1,542.97","1,544.73","1,532.82","","-0.47%"
"2010- 08- 10","1,540.17","1,533.98","1,545.90","1,527.48","","0.28%"
"2010- 08- 11","1,517.80","1,539.63","1,551.23","1,516.27","","-1.45%"
"2010- 08- 12","1,521.51","1,517.92","1,543.72","1,515.46","","0.24%"
"2010- 08- 13","1,510.00","1,520.64","1,529.25","1,508.86","","-0.76%"
"2010- 08- 16","1,522.70","1,510.16","1,529.40","1,509.81","","0.84%"
"2010- 08- 17","1,515.07","1,521.84","1,523.41","1,507.87","","-0.50%"
"2010- 08- 18","1,509.60","1,514.22","1,517.47","1,504.96","","-0.36%"
"2010- 08- 19","1,504.06","1,509.06","1,512.90","1,496.95","","-0.37%"
"2010- 08- 20","1,504.84","1,502.58","1,518.58","1,498.05","","0.05%"
"2010- 08- 23","1,496.51","1,503.02","1,505.78","1,494.13","","-0.55%"
"2010- 08- 24","1,505.71","1,494.61","1,517.55","1,491.30","","0.61%"
"2010- 08- 25","1,515.31","1,503.88","1,521.53","1,503.52","","0.64%"
"2010- 08- 26","1,515.04","1,514.21","1,521.74","1,507.02","","-0.02%"
"2010- 08- 27","1,526.78","1,512.97","1,528.69","1,511.07","","0.77%"
"2010- 08- 30","1,510.24","1,525.55","1,527.98","1,507.45","","-1.08%"
"2010- 08- 31","1,521.11","1,508.04","1,527.89","1,507.45","","0.72%"
"2010- 09- 01","1,517.58","1,519.66","1,522.79","1,504.43","","-0.23%"
"2010- 09- 02","1,513.47","1,515.40","1,519.15","1,505.48","","-0.27%"
"2010- 09- 03","1,513.99","1,510.90","1,514.46","1,503.98","","0.03%"
"2010- 09- 06","1,509.04","1,511.65","1,514.12","1,504.72","","-0.33%"
"2010- 09- 07","1,494.00","1,507.50","1,509.45","1,491.85","","-1.00%"
"2010- 09- 08","1,491.45","1,492.79","1,498.95","1,483.64","","-0.17%"
"2010- 09- 09","1,482.18","1,490.27","1,493.76","1,477.34","","-0.62%"
"2010- 09- 10","1,478.26","1,481.31","1,486.40","1,473.88","","-0.26%"
"2010- 09- 13","1,494.08","1,480.06","1,495.70","1,478.05","","1.07%"
"2010- 09- 14","1,507.86","1,492.33","1,512.27","1,487.63","","0.92%"
"2010- 09- 15","1,507.79","1,506.19","1,513.20","1,501.48","","0.00%"
"2010- 09- 16","1,520.77","1,507.08","1,526.58","1,506.15","","0.86%"
"2010- 09- 17","1,514.83","1,519.30","1,528.05","1,509.21","","-0.39%"
"2010- 09- 20","1,518.87","1,514.03","1,526.28","1,511.19","","0.27%"
"2010- 09- 21","1,537.89","1,515.73","1,541.38","1,515.03","","1.25%"
"2010- 09- 22","1,541.27","1,537.58","1,560.56","1,534.12","","0.22%"
"2010- 09- 23","1,532.64","1,539.06","1,544.49","1,530.71","","-0.56%"
"2010- 09- 24","1,558.43","1,531.63","1,559.24","1,529.21","","1.68%"
"2010- 09- 27","1,542.50","1,555.75","1,558.49","1,539.42","","-1.02%"
"2010- 09- 28","1,556.38","1,540.45","1,558.22","1,534.49","","0.90%"
"2010- 09- 29","1,553.03","1,555.36","1,558.95","1,547.08","","-0.22%"
"2010- 09- 30","1,554.51","1,551.66","1,560.32","1,545.75","","0.10%"
"2010- 10- 01","1,559.88","1,553.84","1,560.32","1,540.64","","0.35%"
"2010- 10- 04","1,535.80","1,558.16","1,559.18","1,533.55","","-1.54%"
"2010- 10- 05","1,554.47","1,534.45","1,566.78","1,530.86","","1.22%"
"2010- 10- 06","1,558.72","1,553.78","1,559.95","1,542.37","","0.27%"
"2010- 10- 07","1,554.95","1,556.43","1,567.62","1,543.56","","-0.24%"
"2010- 10- 08","1,563.71","1,550.47","1,568.11","1,549.57","","0.56%"
"2010- 10- 11","1,550.68","1,567.80","1,571.41","1,548.30","","-0.83%"
"2010- 10- 12","1,575.26","1,549.09","1,576.28","1,547.19","","1.59%"
"2010- 10- 13","1,563.16","1,572.49","1,574.66","1,556.15","","-0.77%"
"2010- 10- 14","1,566.51","1,561.56","1,571.88","1,553.59","","0.21%"
"2010- 10- 15","1,553.42","1,562.33","1,571.28","1,547.34","","-0.84%"
"2010- 10- 18","1,557.62","1,551.67","1,564.65","1,547.90","","0.27%"
"2010- 10- 19","1,548.80","1,555.20","1,575.07","1,544.82","","-0.57%"
"2010- 10- 20","1,567.57","1,546.96","1,574.66","1,543.13","","1.21%"
"2010- 10- 21","1,571.97","1,566.31","1,584.01","1,563.20","","0.28%"
"2010- 10- 22","1,571.41","1,570.85","1,579.62","1,559.93","","-0.04%"
"2010- 10- 25","1,558.39","1,570.77","1,572.26","1,556.26","","-0.83%"
"2010- 10- 26","1,560.11","1,558.16","1,567.34","1,550.94","","0.11%"
"2010- 10- 27","1,559.39","1,555.92","1,568.88","1,549.30","","-0.05%"
"2010- 10- 28","1,565.72","1,555.33","1,571.25","1,550.35","","0.41%"
"2010- 10- 29","1,568.68","1,563.67","1,568.90","1,551.80","","0.19%"
"2010- 11- 01","1,553.89","1,569.22","1,572.94","1,548.27","","-0.94%"
"2010- 11- 02","1,560.38","1,553.09","1,563.65","1,544.79","","0.42%"
"2010- 11- 03","1,567.67","1,559.40","1,571.66","1,550.56","","0.47%"
"2010- 11- 04","1,572.67","1,566.07","1,581.97","1,560.23","","0.32%"
"2010- 11- 05","1,555.11","1,572.82","1,578.09","1,552.49","","-1.12%"
"2010- 11- 08","1,553.53","1,555.59","1,567.08","1,545.73","","-0.10%"
"2010- 11- 09","1,539.17","1,551.86","1,557.26","1,530.62","","-0.92%"
"2010- 11- 10","1,530.96","1,534.20","1,540.89","1,516.82","","-0.53%"
"2010- 11- 11","1,518.14","1,529.14","1,531.79","1,512.20","","-0.84%"
"2010- 11- 12","1,543.93","1,516.70","1,553.40","1,510.27","","1.70%"
"2010- 11- 15","1,542.69","1,545.28","1,553.06","1,538.64","","-0.08%"
"2010- 11- 16","1,525.73","1,541.26","1,543.69","1,519.13","","-1.10%"
"2010- 11- 17","1,544.49","1,523.76","1,555.16","1,521.39","","1.23%"
"2010- 11- 18","1,543.12","1,541.85","1,553.65","1,534.63","","-0.09%"
"2010- 11- 19","1,549.46","1,541.52","1,554.43","1,538.67","","0.41%"
"2010- 11- 22","1,535.66","1,551.26","1,556.95","1,528.43","","-0.89%"
"2010- 11- 23","1,557.23","1,533.39","1,594.07","1,530.46","","1.40%"
"2010- 11- 24","1,530.50","1,552.90","1,566.18","1,520.54","","-1.72%"
"2010- 11- 25","1,526.32","1,528.88","1,533.28","1,511.78","","-0.27%"
"2010- 11- 26","1,530.65","1,524.33","1,552.24","1,514.84","","0.28%"
"2010- 11- 29","1,529.13","1,533.02","1,538.59","1,515.14","","-0.10%"
"2010- 11- 30","1,503.08","1,527.28","1,530.79","1,501.09","","-1.70%"
"2010- 12- 01","1,511.44","1,502.25","1,515.81","1,495.45","","0.56%"
"2010- 12- 02","1,521.11","1,509.10","1,522.26","1,497.19","","0.64%"
"2010- 12- 03","1,526.24","1,517.77","1,526.70","1,499.30","","0.34%"
"2010- 12- 06","1,514.76","1,520.86","1,527.36","1,501.34","","-0.75%"
"2010- 12- 07","1,502.20","1,512.93","1,515.49","1,500.92","","-0.83%"
"2010- 12- 08","1,515.45","1,501.03","1,518.76","1,498.09","","0.88%"
"2010- 12- 09","1,508.55","1,515.07","1,518.39","1,497.90","","-0.46%"
"2010- 12- 10","1,513.30","1,506.48","1,518.32","1,502.25","","0.31%"
"2010- 12- 13","1,534.08","1,509.33","1,539.57","1,501.57","","1.37%"
"2010- 12- 14","1,524.60","1,532.79","1,536.83","1,520.87","","-0.62%"
"2010- 12- 15","1,526.26","1,524.10","1,545.20","1,520.79","","0.11%"
"2010- 12- 16","1,529.20","1,525.87","1,534.80","1,518.83","","0.19%"
"2010- 12- 17","1,524.49","1,528.76","1,542.91","1,516.58","","-0.31%"
"2010- 12- 20","1,515.66","1,522.36","1,541.24","1,511.60","","-0.58%"
"2010- 12- 21","1,514.21","1,514.87","1,524.52","1,509.90","","-0.10%"
"2010- 12- 22","1,512.14","1,512.55","1,520.45","1,505.59","","-0.14%"
"2010- 12- 23","1,511.70","1,511.26","1,515.66","1,505.24","","-0.03%"
"2010- 12- 24","1,509.93","1,510.60","1,517.58","1,503.55","","-0.12%"
"2010- 12- 27","1,512.79","1,509.03","1,516.13","1,502.72","","0.19%"
"2010- 12- 28","1,501.64","1,512.30","1,523.18","1,496.30","","-0.74%"
"2010- 12- 29","1,515.73","1,499.04","1,517.90","1,495.16","","0.94%"
"2010- 12- 30","1,502.64","1,515.24","1,516.90","1,496.50","","-0.86%"
"2010- 12- 31","1,500.07","1,502.23","1,508.40","1,490.89","","-0.17%"
"2011- 01- 03","1,501.97","1,495.31","1,507.30","1,491.46","","0.13%"
"2011- 01- 04","1,497.76","1,501.62","1,504.93","1,492.01","","-0.28%"
"2011- 01- 05","1,477.68","1,495.26","1,501.01","1,473.30","","-1.34%"
"2011- 01- 06","1,461.39","1,474.98","1,480.59","1,458.66","","-1.10%"
"2011- 01- 07","1,448.92","1,459.73","1,464.41","1,446.40","","-0.85%"
"2011- 01- 10","1,459.83","1,444.75","1,465.65","1,442.51","","0.75%"
"2011- 01- 11","1,460.76","1,456.54","1,463.68","1,450.98","","0.06%"
"2011- 01- 12","1,459.46","1,457.83","1,468.00","1,443.67","","-0.09%"
"2011- 01- 13","1,486.19","1,456.23","1,489.19","1,452.83","","1.83%"
"2011- 01- 14","1,491.49","1,485.74","1,498.61","1,480.16","","0.36%"
"2011- 01- 17","1,482.16","1,491.38","1,493.64","1,478.65","","-0.63%"
"2011- 01- 18","1,490.09","1,481.72","1,498.57","1,477.03","","0.54%"
"2011- 01- 19","1,498.84","1,487.18","1,505.31","1,481.99","","0.59%"
"2011- 01- 20","1,515.10","1,498.44","1,517.35","1,495.11","","1.08%"
"2011- 01- 21","1,523.39","1,514.03","1,524.41","1,507.92","","0.55%"
"2011- 01- 24","1,525.69","1,524.62","1,534.60","1,518.06","","0.15%"
"2011- 01- 25","1,534.99","1,524.28","1,536.22","1,519.30","","0.61%"
"2011- 01- 26","1,529.38","1,531.13","1,534.38","1,521.42","","-0.37%"
"2011- 01- 27","1,529.69","1,528.55","1,533.37","1,519.50","","0.02%"
"2011- 01- 28","1,519.37","1,530.05","1,531.67","1,514.98","","-0.67%"
"2011- 01- 31","1,533.22","1,516.99","1,539.61","1,513.65","","0.91%"
"2011- 02- 01","1,540.70","1,531.81","1,542.38","1,528.42","","0.49%"
"2011- 02- 02","1,537.86","1,539.89","1,544.21","1,532.87","","-0.18%"
"2011- 02- 03","1,518.87","1,537.99","1,540.25","1,515.39","","-1.23%"
"2011- 02- 04","1,513.64","1,518.39","1,523.99","1,507.93","","-0.34%"
"2011- 02- 07","1,499.11","1,510.15","1,514.31","1,491.15","","-0.96%"
"2011- 02- 08","1,500.56","1,496.63","1,510.59","1,495.63","","0.10%"
"2011- 02- 09","1,524.93","1,497.28","1,526.59","1,496.62","","1.62%"
"2011- 02- 10","1,522.01","1,524.25","1,534.52","1,517.67","","-0.19%"
"2011- 02- 11","1,526.28","1,518.67","1,532.28","1,515.42","","0.28%"
"2011- 02- 14","1,516.72","1,514.13","1,525.20","1,510.44","","-0.63%"
"2011- 02- 15","1,516.01","1,515.26","1,523.72","1,507.85","","-0.05%"
"2011- 02- 16","1,516.07","1,512.34","1,523.12","1,505.72","","0.00%"
"2011- 02- 17","1,516.98","1,511.36","1,521.79","1,510.25","","0.06%"
"2011- 02- 18","1,523.99","1,516.50","1,527.50","1,504.74","","0.46%"
"2011- 02- 21","1,530.88","1,520.67","1,533.42","1,518.79","","0.45%"
"2011- 02- 22","1,542.74","1,530.34","1,546.39","1,526.48","","0.77%"
"2011- 02- 23","1,553.57","1,538.65","1,556.63","1,532.92","","0.70%"
"2011- 02- 24","1,561.52","1,549.45","1,568.25","1,546.71","","0.51%"
"2011- 02- 25","1,549.74","1,559.75","1,564.36","1,545.65","","-0.75%"
"2011- 02- 28","1,553.15","1,549.04","1,561.32","1,543.45","","0.22%"
"2011- 03- 01","1,552.21","1,552.24","1,558.25","1,545.62","","-0.06%"
"2011- 03- 02","1,557.62","1,548.31","1,565.40","1,546.60","","0.35%"
"2011- 03- 03","1,558.46","1,554.20","1,564.06","1,546.89","","0.05%"
"2011- 03- 04","1,563.26","1,554.86","1,564.60","1,553.42","","0.31%"
"2011- 03- 07","1,564.01","1,563.94","1,570.92","1,557.59","","0.05%"
"2011- 03- 08","1,551.51","1,559.54","1,565.39","1,548.97","","-0.80%"
"2011- 03- 09","1,549.99","1,549.75","1,555.87","1,542.26","","-0.10%"
"2011- 03- 10","1,555.09","1,547.56","1,560.41","1,546.78","","0.33%"
"2011- 03- 11","1,566.70","1,552.67","1,567.49","1,549.08","","0.75%"
"2011- 03- 14","1,573.99","1,568.52","1,583.21","1,560.94","","0.47%"
"2011- 03- 15","1,588.67","1,570.98","1,592.13","1,567.66","","0.93%"
"2011- 03- 16","1,582.03","1,586.52","1,590.03","1,574.09","","-0.42%"
"2011- 03- 17","1,592.24","1,579.65","1,595.85","1,575.34","","0.65%"
"2011- 03- 18","1,595.78","1,588.42","1,596.67","1,574.68","","0.22%"
"2011- 03- 21","1,595.60","1,595.50","1,601.22","1,585.46","","-0.01%"
"2011- 03- 22","1,591.71","1,591.75","1,600.98","1,587.14","","-0.24%"
"2011- 03- 23","1,581.33","1,589.35","1,598.06","1,578.59","","-0.65%"
"2011- 03- 24","1,586.28","1,579.83","1,591.43","1,572.64","","0.31%"
"2011- 03- 25","1,564.81","1,584.94","1,587.44","1,560.76","","-1.35%"
"2011- 03- 28","1,568.88","1,559.98","1,572.44","1,557.09","","0.26%"
"2011- 03- 29","1,568.38","1,566.19","1,573.11","1,562.79","","-0.03%"
"2011- 03- 30","1,558.84","1,567.03","1,570.32","1,546.23","","-0.61%"
"2011- 03- 31","1,553.41","1,557.43","1,561.39","1,547.37","","-0.35%"
"2011- 04- 01","1,546.99","1,552.10","1,556.17","1,530.93","","-0.41%"
"2011- 04- 04","1,547.83","1,546.05","1,551.92","1,538.55","","0.05%"
"2011- 04- 05","1,546.64","1,545.81","1,552.65","1,539.28","","-0.08%"
"2011- 04- 06","1,556.07","1,544.57","1,558.03","1,543.20","","0.61%"
"2011- 04- 07","1,555.65","1,554.81","1,561.75","1,549.03","","-0.03%"
"2011- 04- 08","1,567.57","1,553.95","1,568.65","1,552.01","","0.77%"
"2011- 04- 11","1,571.27","1,564.14","1,572.46","1,563.17","","0.24%"
"2011- 04- 12","1,580.78","1,569.01","1,586.85","1,565.98","","0.61%"
"2011- 04- 13","1,569.25","1,579.33","1,586.58","1,565.47","","-0.73%"
"2011- 04- 14","1,573.62","1,567.53","1,579.51","1,564.45","","0.28%"
