"날짜","종가","오픈","고가","저가","변동 %"
"2018년 11월 20일","1,285.21","1,289.62","1,293.72","1,282.89","-0.31%"
"2018년 11월 19일","1,289.24","1,278.80","1,291.81","1,278.01","0.67%"
"2018년 11월 16일","1,280.64","1,277.73","1,287.11","1,276.68","0.23%"
"2018년 11월 15일","1,277.72","1,281.09","1,284.11","1,275.43","-0.26%"
"2018년 11월 14일","1,281.09","1,278.53","1,286.23","1,276.67","0.28%"
"2018년 11월 13일","1,277.57","1,277.29","1,280.89","1,271.53","-0.04%"
"2018년 11월 12일","1,278.12","1,281.17","1,285.06","1,277.38","-0.28%"
"2018년 11월 09일","1,281.75","1,274.56","1,283.47","1,273.13","0.56%"
"2018년 11월 08일","1,274.62","1,275.46","1,281.06","1,272.05","-0.08%"
"2018년 11월 07일","1,275.63","1,282.13","1,288.23","1,275.14","-0.50%"
"2018년 11월 06일","1,282.03","1,279.51","1,285.54","1,278.23","0.28%"
"2018년 11월 05일","1,278.42","1,272.78","1,281.37","1,270.98","0.41%"
"2018년 11월 02일","1,273.18","1,283.58","1,289.24","1,271.05","-0.74%"
"2018년 11월 01일","1,282.72","1,290.88","1,292.82","1,280.27","-0.70%"
"2018년 10월 31일","1,291.80","1,293.04","1,296.12","1,290.16","-0.09%"
"2018년 10월 30일","1,292.92","1,300.60","1,302.49","1,291.35","-0.60%"
"2018년 10월 29일","1,300.71","1,300.65","1,304.41","1,294.76","0.01%"
"2018년 10월 26일","1,300.61","1,293.78","1,303.71","1,291.53","0.52%"
"2018년 10월 25일","1,293.83","1,298.59","1,302.61","1,288.67","-0.36%"
"2018년 10월 24일","1,298.53","1,302.73","1,305.45","1,290.37","-0.34%"
"2018년 10월 23일","1,302.96","1,299.28","1,308.96","1,297.28","0.28%"
"2018년 10월 22일","1,299.27","1,302.76","1,307.42","1,297.28","-0.33%"
"2018년 10월 19일","1,303.62","1,303.88","1,307.07","1,294.82","-0.03%"
"2018년 10월 18일","1,304.04","1,297.81","1,309.66","1,296.40","0.47%"
"2018년 10월 17일","1,297.92","1,301.11","1,305.54","1,296.72","-0.17%"
"2018년 10월 16일","1,300.10","1,309.58","1,315.38","1,297.84","-0.80%"
"2018년 10월 15일","1,310.60","1,307.71","1,314.04","1,306.19","0.19%"
"2018년 10월 12일","1,308.12","1,316.55","1,318.97","1,304.60","-0.64%"
"2018년 10월 11일","1,316.56","1,316.97","1,325.06","1,310.58","-0.04%"
"2018년 10월 10일","1,317.08","1,300.92","1,318.99","1,300.17","1.25%"
"2018년 10월 09일","1,300.86","1,303.86","1,305.57","1,300.19","-0.23%"
"2018년 10월 08일","1,303.91","1,304.18","1,308.26","1,301.41","-0.06%"
"2018년 10월 05일","1,304.66","1,305.14","1,306.88","1,296.37","-0.04%"
"2018년 10월 04일","1,305.20","1,291.68","1,306.72","1,290.98","1.03%"
"2018년 10월 03일","1,291.85","1,292.59","1,298.18","1,289.79","0.02%"
"2018년 10월 02일","1,291.65","1,288.78","1,293.51","1,287.12","0.17%"
"2018년 10월 01일","1,289.51","1,289.73","1,292.46","1,285.85","0.06%"
"2018년 09월 28일","1,288.78","1,295.73","1,297.38","1,283.58","-0.65%"
"2018년 09월 27일","1,297.21","1,310.90","1,313.43","1,296.58","-0.94%"
"2018년 09월 26일","1,309.54","1,315.00","1,315.52","1,306.69","-0.49%"
"2018년 09월 25일","1,315.97","1,315.81","1,319.81","1,313.19","0.00%"
"2018년 09월 24일","1,315.92","1,310.22","1,321.77","1,309.25","0.45%"
"2018년 09월 21일","1,310.07","1,315.53","1,319.12","1,307.33","-0.42%"
"2018년 09월 20일","1,315.59","1,306.21","1,318.39","1,305.38","0.72%"
"2018년 09월 19일","1,306.15","1,309.88","1,314.86","1,305.68","-0.30%"
"2018년 09월 18일","1,310.11","1,316.11","1,320.62","1,308.87","-0.44%"
"2018년 09월 17일","1,315.94","1,303.47","1,317.83","1,303.26","0.87%"
"2018년 09월 14일","1,304.55","1,310.31","1,312.66","1,302.78","-0.36%"
