state,enter_price,enter_time,exit_price,ror,fiat_money,bin btc price (usdt),up btc price (krw),exchage rate(usd),kimch premium,LSTM_pred_exchange_rate,pred premium(Lstm-liner-pre)
True,19226000.0,2020-11-28,17139.53,1.0287282808022342,11989835.475355813,17139.53,19226000.0,1106.07,0.014162192821064234,1092.165771484375,0.034847982215569
False,22719.88,2020-12-22,25890000.0,1.0112389394347836,12124588.510096358,22719.88,25890000.0,1104.31,0.03189382196594304,1076.8892822265625,0.0373230991346703
True,25387000.0,2020-12-23,23810.79,1.0112389394347836,12124588.510096358,23810.79,25387000.0,1109.94,-0.039409968441892596,1077.3826904296875,0.037243156487445
False,23232.39,2020-12-24,26776000.0,1.0756526086357072,13041845.25951967,23232.39,26776000.0,1106.87,0.04125042836585613,1078.2464599609375,0.0371032074098185
True,26380000.0,2020-12-25,23728.99,1.0756526086357072,13041845.25951967,23728.99,26380000.0,1102.66,0.008216771256795097,1079.4263916015625,0.0369120333306302
False,31989.75,2021-01-05,37537000.0,1.0497124018166073,13690186.711490927,31989.75,37537000.0,1086.69,0.07979930519646761,1088.44775390625,0.0354503803227405
True,36478000.0,2021-01-06,33949.53,1.0497124018166073,13690186.711490927,33949.53,36478000.0,1087.4,-0.011884017182755335,1087.12109375,0.035665327549372
False,40586.96,2021-01-09,44698000.0,1.0183311814392801,13941144.00803689,40586.96,44698000.0,1094.35,0.0063413672998406945,1082.5179443359375,0.0364111358829242
True,38496000.0,2021-01-14,37371.38,1.0183311814392801,13941144.00803689,37371.38,38496000.0,1098.11,-0.06193998604396689,1076.3857421875,0.0374046833553047
False,39145.21,2021-01-15,41380000.0,1.0197584299615496,14216599.125503564,39145.21,41380000.0,1096.04,-0.03553725817746867,1075.9073486328125,0.0374821933094056
True,40070000.0,2021-01-18,35824.99,1.0197584299615496,14216599.125503564,35824.99,40070000.0,1104.26,0.01288916099901205,1077.012939453125,0.0373030640278818
False,30851.99,2021-01-22,39253000.0,1.1307814008187336,16075865.874015303,30851.99,39253000.0,1099.97,0.15666829582028363,1082.6231689453125,0.0363940872530607
True,34525000.0,2021-01-23,32950.0,1.1307814008187336,16075865.874015303,32950.0,34525000.0,1099.97,-0.04742884214127341,1084.7674560546875,0.0360466670301119
False,32078.0,2021-01-24,36345000.0,1.0759127157899846,17296228.51118734,32078.0,36345000.0,1099.97,0.03004583300667507,1086.78076171875,0.0357204685935244
True,35494000.0,2021-01-25,32259.45,1.0759127157899846,17296228.51118734,32259.45,35494000.0,1105.54,-0.004769846822941903,1088.745849609375,0.035402082464125
False,30362.19,2021-01-28,35929000.0,1.0703652951036267,18513282.734556798,30362.19,35929000.0,1108.42,0.06759783075642489,1093.645751953125,0.0346081938298789
True,34293000.0,2021-01-29,33368.18,1.0703652951036267,18513282.734556798,33368.18,34293000.0,1113.24,-0.07682474032150177,1094.8038330078125,0.0344205600114162
False,34246.28,2021-01-30,36631000.0,1.0360260820764866,19180243.777857143,34246.28,36631000.0,1113.24,-0.03916996826625241,1095.8690185546875,0.034247977245536
True,37523000.0,2021-01-31,34262.89,1.0360260820764866,19180243.777857143,34262.89,37523000.0,1113.24,-0.016249969694597466,1096.8748779296875,0.034085006584196
False,33092.97,2021-02-01,37039000.0,1.017236540352914,19510844.823712908,33092.97,37039000.0,1118.43,0.0007248848847054568,1097.9532470703125,0.0339102877950846
True,36408000.0,2021-02-02,33517.09,1.017236540352914,19510844.823712908,33517.09,36408000.0,1117.44,-0.027910384813391698,1099.1400146484375,0.0337180061482949
False,51552.61,2021-02-19,57458000.0,1.0204500231247045,19909842.051540356,51552.61,57458000.0,1107.08,0.006748154862477929,1102.6173095703125,0.0331546102430848
True,57852000.0,2021-02-20,55906.0,1.0204500231247045,19909842.051540356,55906.0,57852000.0,1107.08,-0.06528125480232516,1100.934326171875,0.0334272894309361
False,55841.19,2021-02-21,63649000.0,1.0944053744434619,21789438.145526204,55841.19,63649000.0,1107.08,0.02957482560054392,1099.461669921875,0.0336658911370533
True,64260000.0,2021-02-22,57412.35,1.0944053744434619,21789438.145526204,57412.35,64260000.0,1106.02,0.011981136218638833,1098.09716796875,0.0338869695414779
False,54087.67,2021-02-23,65416000.0,1.0737007051952008,23395335.102658693,54087.67,65416000.0,1112.58,0.08706237116889715,1096.9072265625,0.0340797654160825
True,55106000.0,2021-02-25,49676.21,1.0737007051952008,23395335.102658693,49676.21,55106000.0,1107.54,0.0015923835139430853,1096.00146484375,0.03422651812326
False,47073.73,2021-02-26,56501000.0,1.076237099443869,25178927.591402724,47073.73,56501000.0,1119.47,0.07217348452848849,1095.8760986328125,0.0342468301219489
True,51798000.0,2021-03-02,49595.76,1.076237099443869,25178927.591402724,49595.76,51798000.0,1113.53,-0.06207843901075727,1099.130859375,0.033719489497761
False,48436.61,2021-03-03,56438000.0,1.110235006786435,27954526.84531616,48436.61,56438000.0,1125.29,0.03546021237666763,1100.9979248046875,0.033416985096645
True,56007000.0,2021-03-04,50349.37,1.110235006786435,27954526.84531616,50349.37,56007000.0,1127.05,-0.01302742227609699,1103.0169677734375,0.0330898570943922
False,48374.09,2021-03-05,57933000.0,1.0715305426243924,29954129.31936977,48374.09,57933000.0,1131.03,0.05886132456148441,1105.18701171875,0.0327382637149454
True,56410000.0,2021-03-06,48746.81,1.0715305426243924,29954129.31936977,48746.81,56410000.0,1131.03,0.02314167423122071,1107.4208984375,0.0323763264452219
False,58976.08,2021-03-15,70615000.0,1.0295779163709613,30840110.05134305,58976.08,70615000.0,1136.5,0.05354143494660746,1124.44482421875,0.0296180875580281
True,64490000.0,2021-03-17,56900.74,1.0295779163709613,30840110.05134305,56900.74,64490000.0,1129.93,0.0030507870067746357,1125.8077392578125,0.0293972662675109
False,57641.0,2021-03-19,68494000.0,1.043219896934616,32173016.429214314,57641.0,68494000.0,1128.25,0.05321171352593734,1125.813232421875,0.0293963762578313
True,67139000.0,2021-03-20,58030.01,1.043219896934616,32173016.429214314,58030.01,67139000.0,1128.25,0.025455646451300273,1125.282470703125,0.0294823709708782
False,57351.56,2021-03-22,67849000.0,1.0174871374405416,32735630.38938879,57351.56,67849000.0,1129.47,0.047426399177104894,1123.6253662109375,0.0297508572242387
True,63334000.0,2021-03-27,55025.59,1.0174871374405416,32735630.38938879,55025.59,63334000.0,1135.24,0.013875257793745543,1117.310791015625,0.0307739530179834
False,55817.14,2021-03-28,65660000.0,1.017215397233382,33299187.270227283,55817.14,65660000.0,1135.24,0.036204832506904205,1116.4412841796875,0.0309148316612753
True,67133000.0,2021-03-30,57635.46,1.017215397233382,33299187.270227283,57635.46,67133000.0,1132.56,0.028454475342901464,1115.2667236328125,0.031105135508777
False,58739.46,2021-04-01,70800000.0,1.0297712512174058,34290545.73978466,58739.46,70800000.0,1127.96,0.0685863177650976,1114.490478515625,0.0312309037655077
True,59850000.0,2021-04-27,54001.38,1.0297712512174058,34290545.73978466,54001.38,59850000.0,1110.44,-0.001922652297217109,1105.97607421875,0.0326104187689622
False,55011.97,2021-04-28,64198000.0,1.0483433318013515,35948264.97013249,55011.97,64198000.0,1113.43,0.04809676929262108,1105.8326416015625,0.0326336579105975
True,63816000.0,2021-05-01,57697.25,1.0483433318013515,35948264.97013249,57697.25,63816000.0,1107.81,-0.0015893984999987287,1104.8441162109375,0.0327938200969483
False,57797.35,2021-05-02,67956000.0,1.0583568925385543,38046094.00594199,57797.35,67956000.0,1107.81,0.06134016542643095,1104.6715087890625,0.0328217861788822
True,42585000.0,2021-05-25,38810.99,1.0583568925385543,38046094.00594199,38810.99,42585000.0,1123.6,-0.023459633521164647,1115.9935302734375,0.0309873773391631
