state,enter_price,enter_time,exit_price,ror,fiat_money,bin btc price (usdt),up btc price (krw),exchage rate(usd),unofficial exchange rate,kimch premium,pred premium(un_official)
True,50800000.0,2021-10-01,43820.01,1.0291567717476595,166120561.15984342,43820.01,50800000.0,1184.78,1159.2877317919372,-0.0215164572393719,0.0239727937611582
False,47634.89,2021-10-03,58348000.0,1.0547234899065232,175211258.0117401,47634.89,58348000.0,1184.78,1224.900487856695,0.033863238623790926,0.0133421285668174
True,58466000.0,2021-10-05,49224.93,1.0547234899065232,175211258.0117401,49224.93,58466000.0,1184.45,1187.7315010910122,0.0027704851120875507,0.0193642967794874
False,53785.22,2021-10-08,66998000.0,1.0468541025945965,183420624.2703505,53785.22,66998000.0,1191.33,1245.6581938309446,0.04560297636334565,0.0099789376928199
True,65951000.0,2021-10-10,54949.72,1.0468541025945965,183420624.2703505,54949.72,65951000.0,1191.33,1200.2062976845014,0.007450746379677797,0.017343113797599
False,54659.01,2021-10-11,67057000.0,1.0202922685420774,187142644.83419994,54659.01,67057000.0,1196.54,1226.82426922844,0.025309867809216735,0.0130304349740357
True,67801000.0,2021-10-12,57471.35,1.0202922685420774,187142644.83419994,57471.35,67801000.0,1195.75,1179.7356421938932,-0.01339273075986358,0.0206597963739957
False,55996.91,2021-10-13,70954000.0,1.0720795503442921,200631802.52409062,55996.91,70954000.0,1197.92,1267.1056313643019,0.05775480112553577,0.0065039956027692
True,69188000.0,2021-10-14,57370.83,1.0720795503442921,200631802.52409062,57370.83,69188000.0,1186.87,1205.9787177560443,0.016100093317755526,0.0164078586913952
False,60875.57,2021-10-17,75688000.0,1.0290702136692202,206464211.89230675,60875.57,75688000.0,1182.23,1243.3230604657995,0.05167612094583918,0.0103572790776033
True,76541000.0,2021-10-20,64280.59,1.0290702136692202,206464211.89230675,64280.59,76541000.0,1175.61,1190.7326924037257,0.012863698338501539,0.0188780398083867
False,62193.15,2021-10-22,79919000.0,1.0771757784277562,222398248.16256872,62193.15,79919000.0,1177.86,1285.0128993305532,0.0909725258779086,0.0036026364507976
True,74501000.0,2021-10-26,63078.78,1.0771757784277562,222398248.16256872,63078.78,74501000.0,1168.13,1181.0786448311144,0.011084934751366848,0.0204422013170631
False,60328.81,2021-10-27,76250000.0,1.068214857246836,237569112.91292474,60328.81,76250000.0,1168.06,1263.906912800037,0.08205649778267987,0.0070222561994443
True,71833000.0,2021-10-29,60575.9,1.068214857246836,237569112.91292474,60575.9,71833000.0,1168.45,1185.83463060392,0.014878369296007499,0.0196716302352777
False,61859.19,2021-10-31,74568000.0,1.0147610477673106,241075881.93667004,61859.19,74568000.0,1168.45,1205.4474040154746,0.03166366041805335,0.0164939428437447
True,72325000.0,2021-11-02,60911.12,1.0147610477673106,241075881.93667004,60911.12,72325000.0,1177.56,1187.3858172366556,0.008344217905376983,0.0194203049330716
False,61395.01,2021-11-05,74607000.0,1.0216395942085867,246292666.19525674,61395.01,74607000.0,1185.97,1215.1964793229938,0.024643523295693637,0.0149143848162422
True,74092000.0,2021-11-07,61470.62,1.0216395942085867,246292666.19525674,61470.62,74092000.0,1185.97,1205.323779067138,0.01631894488658059,0.0165139727207725
False,64882.42,2021-11-11,80813000.0,1.0315428946592833,254061449.82040772,64882.42,80813000.0,1185.15,1245.5299910206802,0.050947129916618206,0.0099997092810694
True,77867000.0,2021-11-15,65519.11,1.0315428946592833,254061449.82040772,65519.11,77867000.0,1179.94,1188.4624195902538,0.0072227567420832806,0.0192458724011224
False,63606.73,2021-11-16,79323000.0,1.0474976113582146,266128761.82508197,63606.73,79323000.0,1183.56,1247.0850175759704,0.053672832451223895,0.0097477618295513
True,71813000.0,2021-11-21,59707.52,1.0474976113582146,266128761.82508197,59707.52,71813000.0,1182.99,1202.746320731459,0.016700327755483135,0.016931575916589
False,58617.7,2021-11-22,73669000.0,1.043161385423552,277615247.886507,58617.7,73669000.0,1188.77,1256.7705658870955,0.057202457907833626,0.0081784965297129
True,57980000.0,2021-12-22,48887.59,1.043161385423552,277615247.886507,48887.59,57980000.0,1190.43,1185.9860549476873,-0.0037330586866198834,0.0196470962635714
False,48588.17,2021-12-23,60023000.0,1.0399762325649498,288713259.5995942,48588.17,60023000.0,1187.94,1235.3418537886898,0.03990256560827121,0.0116504047001186
True,59759000.0,2021-12-24,50838.82,1.0399762325649498,288713259.5995942,50838.82,59759000.0,1185.64,1175.460012643881,-0.008586069427582554,0.0213525395076075
False,50819.99,2021-12-25,61490000.0,1.0277296566386203,296719179.15530777,50819.99,61490000.0,1185.64,1209.9569480434766,0.02050955437019386,0.0157633005781842
True,61177000.0,2021-12-27,50775.48,1.0277296566386203,296719179.15530777,50775.48,61177000.0,1187.1,1204.8532086747382,0.014955107972991488,0.0165902151558112
False,47543.74,2021-12-29,61470000.0,1.071416421108102,317909801.0047136,47543.74,61470000.0,1188.14,1292.9146928701866,0.0881837938880825,0.0023223774494574
True,56784000.0,2022-01-02,47722.66,1.071416421108102,317909801.0047136,47722.66,56784000.0,1190.22,1189.8749985855775,-0.0002898635667545335,0.0190170044909705
False,47286.18,2022-01-03,57915000.0,1.0277680832733893,326737546.8324391,47286.18,57915000.0,1189.8,1224.7764568844427,0.029396921234192908,0.013362224228375
True,51255000.0,2022-01-12,42729.29,1.0277680832733893,326737546.8324391,42729.29,51255000.0,1190.55,1199.5284733259082,0.007541450023861529,0.017452935793335
False,42558.35,2022-01-14,53349000.0,1.0434873751205511,340946505.09751004,42558.35,53349000.0,1186.77,1253.5495384572005,0.05626999204327765,0.0087003716381934
True,51885000.0,2022-01-15,43059.96,1.0434873751205511,340946505.09751004,43059.96,51885000.0,1186.77,1204.947705478593,0.015316957353651572,0.0165749046591339
False,42201.63,2022-01-18,52165000.0,1.0243365204714499,349243956.6984849,42201.63,52165000.0,1190.98,1236.089696061503,0.037876115519574594,0.0115292383096594
True,43376000.0,2022-01-24,36244.55,1.0243365204714499,349243956.6984849,36244.55,43376000.0,1193.3,1196.7592369059623,0.00289888285088602,0.0179016111270668
False,36958.32,2022-01-26,44764000.0,1.0106260638756661,352955045.2905534,36958.32,44764000.0,1196.35,1211.2022407944949,0.01241462849040409,0.0155615366057647
True,45100000.0,2022-01-28,37160.11,1.0106260638756661,352955045.2905534,37160.11,45100000.0,1203.82,1213.6670208995613,0.008179811682445415,0.0151621896853461
False,37881.75,2022-01-31,47144000.0,1.023940324845657,361404903.7307228,37881.75,47144000.0,1209.71,1244.5042797653223,0.02876249660275798,0.0101658963702235
True,45835000.0,2022-02-05,41571.7,1.023940324845657,361404903.7307228,41571.7,45835000.0,1200.65,1102.552938657789,-0.08170329516696051,0.0331650397031522
False,41382.6,2022-02-06,50613000.0,1.1077062389858425,400330466.66259944,41382.6,50613000.0,1200.65,1223.0502675037335,0.018656783828537415,0.0136419037064057
True,50788000.0,2022-02-07,42380.87,1.1077062389858425,400330466.66259944,42380.87,50788000.0,1199.0,1198.370868743374,-0.0005247133082785238,0.0176404924131516
False,44043.0,2022-02-09,53511000.0,1.012400782945712,405294877.886238,44043.0,53511000.0,1196.4,1214.971732170833,0.015523012513233958,0.0149507986459805
True,53651000.0,2022-02-10,44372.71,1.012400782945712,405294877.886238,44372.71,53651000.0,1194.17,1209.099016039363,0.012501583559596074,0.015902303851972
False,43495.44,2022-02-11,53659000.0,1.0188568741579358,412937472.3953947,43495.44,53659000.0,1200.1,1233.6695524864215,0.02797229604734741,0.011921353160673
True,51550000.0,2022-02-15,42535.94,1.0188568741579358,412937472.3953947,42535.94,51550000.0,1197.44,1211.9163229965059,0.012089393202587173,0.0154458400664618
False,43873.56,2022-02-17,53835000.0,1.0110409501921946,417496694.460603,43873.56,53835000.0,1196.69,1227.048819380055,0.02536899228710432,0.0129940530625854
True,45450000.0,2022-02-23,38230.33,1.0110409501921946,417496694.460603,38230.33,45450000.0,1193.03,1188.8466565682272,-0.0035064863681321112,0.0191836178196491
False,37250.02,2022-02-24,46500000.0,1.0485647809617782,437772329.9793486,37250.02,46500000.0,1192.6,1248.3214774112873,0.046722687750534675,0.0095474289777727
True,45483000.0,2022-02-25,38328.68,1.0485647809617782,437772329.9793486,38328.68,45483000.0,1206.11,1186.6570933306339,-0.01612863393004449,0.0195383737405514
False,39116.73,2022-02-27,47830000.0,1.0289854208525557,450461345.2014039,39116.73,47830000.0,1206.11,1222.7504701952334,0.013796809739769822,0.0136904772613663
True,46363000.0,2022-03-01,43160.0,1.0289854208525557,450461345.2014039,43160.0,46363000.0,1201.18,1074.2122335495828,-0.10570253121964834,0.0377568380888126
False,44421.2,2022-03-02,52332000.0,1.0951761949708503,493334542.0191242,44421.2,52332000.0,1205.42,1178.0861390507237,-0.022675798434799832,0.0209270510467721
True,47364000.0,2022-03-09,38730.63,1.0951761949708503,493334542.0191242,38730.63,47364000.0,1233.64,1222.908070434176,-0.008699401418423736,0.0136649426629859
False,39422.01,2022-03-11,51571000.0,1.0682574674320615,527008308.45410556,39422.01,51571000.0,1228.77,1308.1778427837646,0.06462384562103951,-0.0001505782115139
True,47500000.0,2022-03-15,39671.37,1.0682574674320615,527008308.45410556,39671.37,47500000.0,1242.01,1197.3370216355017,-0.03596829201415308,0.0178079976838505
False,39280.33,2022-03-16,49212000.0,1.0449320531692425,550687873.790198,39280.33,49212000.0,1241.66,1252.8407984352473,0.009004718228216468,0.0088152026304441
True,48609000.0,2022-03-17,41114.01,1.0449320531692425,550687873.790198,41114.01,48609000.0,1224.95,1182.2977131153102,-0.0348196145840155,0.0202446862673137
False,40917.89,2022-03-18,50392000.0,1.040234764593711,572844670.7567577,40917.89,50392000.0,1210.58,1231.5395539701583,0.017313646326684973,0.012266458326938
True,50069000.0,2022-03-19,41757.51,1.040234764593711,572844670.7567577,41757.51,50069000.0,1210.58,1199.0418011035617,-0.00953113292507557,0.0175317870680787
False,41262.11,2022-03-21,51245000.0,1.0343714088237401,592534149.1278391,41262.11,51245000.0,1211.55,1241.9384272883767,0.02508227253384243,0.0105816191695151
True,50471000.0,2022-03-22,41002.26,1.0343714088237401,592534149.1278391,41002.26,50471000.0,1218.82,1230.9321486181493,0.009937602450033056,0.0123648709424375
False,45497.54,2022-04-06,57069000.0,1.0176224551918813,602976055.620504,45497.54,57069000.0,1218.82,1254.3315528707706,0.029136010953849434,0.0085736686324607
True,53072000.0,2022-04-08,43444.2,1.0176224551918813,602976055.620504,43444.2,53072000.0,1222.76,1221.6130116333136,-0.0009380322930799823,0.0138747697963769
False,42252.02,2022-04-09,53813000.0,1.041158631627592,627793724.9740468,42252.02,53813000.0,1222.76,1273.6195807916404,0.041594082887598915,0.0054485969332397
True,50577000.0,2022-04-14,41147.78,1.041158631627592,627793724.9740468,41147.78,50577000.0,1223.36,1229.1550115218854,0.00473696338108609,0.0126528050364752
