state,enter_price,enter_time,exit_price,ror,fiat_money,비공식환율,seed_fiat,seed_krw,바이낸스USDT,비트코인KRW,달러환율,김치프리미엄,선형회귀예상김프,LSTM달러_예측값_예상김프
True,35339000.0,2021-07-22,32144.51,1.0410070732036754,82131224.20836768,1099.3790230431262,74633.17558470025,85789342.67110124,32144.51,35339000.0,1149.48,0.04358577526957741,-0.0255618553895567,-0.0274127424618245
False,32287.58,2021-07-23,38012000.0,1.068757245849333,87778340.98316911,1177.2947988049893,87778340.98316911,87778340.98316911,32287.58,38012000.0,1150.86,-0.022969604300253188,-0.0253382659711559,-0.0274127424618245
True,37922000.0,2021-07-24,33634.1,1.068757245849333,87778340.98316911,1127.486687617626,77776.13070161216,89509437.77925736,33634.1,37922000.0,1150.86,0.020309431540216694,-0.0253382659711559,-0.0269784375161492
False,34261.51,2021-07-25,39113000.0,1.0105102597906785,88700914.15089698,1141.6017566067578,88700914.15089698,88700914.15089698,34261.51,39113000.0,1150.86,0.008044630444399847,-0.0253382659711559,-0.0269784375161492
True,40076000.0,2021-07-26,35381.02,1.0105102597906785,88700914.15089698,1132.6977006315817,78230.61104024768,90131051.59169014,35381.02,40076000.0,1152.12,0.016857878839372842,-0.025134119110877,-0.0266190120515215
False,40018.49,2021-07-30,46350000.0,1.0204154446691884,90511782.75585105,1158.2146152940802,90511782.75585105,90511782.75585105,40018.49,46350000.0,1143.3,-0.013045233354395558,-0.0265631471328297,-0.0266190120515215
True,45936000.0,2021-07-31,42206.36,1.0204154446691884,90511782.75585105,1088.3667769502038,83075.06610904526,94979723.08247145,42206.36,45936000.0,1143.3,0.04804795158733155,-0.0265631471328297,-0.0258894414501247
False,41461.84,2021-08-01,48570000.0,1.074061960675742,97215262.8510062,1171.4386047507783,97215262.8510062,97215262.8510062,41461.84,48570000.0,1143.3,-0.024611742106864565,-0.0265631471328297,-0.0258894414501247
True,44950000.0,2021-08-05,39723.17,1.074061960675742,97215262.8510062,1131.5813919181173,85823.687357512,98262972.60310979,39723.17,44950000.0,1144.94,0.011667518020055834,-0.0262974321718316,-0.025741047169538
False,43794.36,2021-08-09,50956000.0,1.0261000510647624,99752586.17569177,1163.528819692764,99752586.17569177,99752586.17569177,43794.36,50956000.0,1145.93,-0.015357674284436351,-0.0261370310673267,-0.025741047169538
True,50790000.0,2021-08-10,46248.87,1.0261000510647624,99752586.17569177,1098.188993590546,90737.5995974228,104082378.37021576,46248.87,50790000.0,1147.07,0.04261379550459343,-0.0259523267651696,-0.0261026086573968
False,45585.0,2021-08-11,52862000.0,1.053725990761048,105111892.69895762,1159.6358451244928,105111892.69895762,105111892.69895762,45585.0,52862000.0,1152.9,-0.005842523310341408,-0.0250077424830852,-0.0261026086573968
